inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,5,78,32,808,2025-02-18
2,2,2,170,49,805,2024-02-21
3,2,5,307,30,673,2025-08-13
4,2,1,71,23,341,2024-08-14
5,3,2,278,10,494,2025-09-15
6,3,3,379,23,836,2024-04-05
7,3,3,373,14,848,2025-11-19
8,4,2,353,39,214,2024-08-30
9,4,1,46,39,254,2024-01-20
10,4,3,47,33,405,2025-03-14
11,5,5,130,19,869,2026-02-01
12,5,5,13,19,201,2026-02-17
13,6,5,336,23,941,2024-11-03
14,6,3,443,14,994,2024-10-13
15,7,2,246,28,464,2024-11-18
16,8,1,319,12,610,2024-07-20
17,8,3,443,15,840,2024-03-04
18,9,1,17,17,883,2024-12-11
19,9,3,36,42,776,2026-01-28
20,9,5,218,20,469,2025-12-11
21,10,2,186,31,816,2026-02-10
22,11,4,251,41,947,2025-10-09
23,12,2,479,20,887,2025-02-05
24,12,5,144,36,935,2024-08-10
25,13,1,14,35,234,2024-01-30
26,13,5,362,12,580,2024-06-11
27,13,5,91,24,771,2024-03-07
28,14,2,218,16,610,2024-02-23
29,14,4,347,49,921,2025-12-12
30,15,4,181,46,469,2025-12-28
31,15,3,412,23,236,2025-08-23
32,15,4,288,29,721,2024-04-14
33,16,3,24,41,507,2024-05-22
34,16,3,80,17,596,2026-01-28
35,17,2,130,11,412,2025-02-05
36,17,2,319,30,571,2025-02-19
37,17,3,479,16,289,2025-10-08
38,18,5,156,49,396,2025-05-26
39,18,1,148,46,996,2024-10-20
40,19,1,32,21,404,2024-01-10
41,20,4,250,29,851,2025-03-24
42,20,3,100,50,356,2024-08-07
43,21,5,44,39,586,2025-03-02
44,21,1,371,22,898,2024-04-21
45,22,4,199,32,274,2024-06-29
46,22,4,496,36,771,2025-07-01
47,23,4,41,16,506,2026-02-05
48,23,2,326,28,523,2025-01-08
49,23,1,65,43,840,2025-08-27
50,24,1,432,14,244,2025-12-09
51,24,2,194,12,960,2025-10-07
52,25,1,120,26,621,2025-07-05
53,26,4,114,30,539,2026-01-24
54,26,4,433,39,881,2025-09-14
55,26,3,56,23,988,2026-02-03
56,27,1,303,14,777,2025-04-09
57,27,4,87,46,585,2024-05-25
58,27,4,107,14,456,2024-08-23
59,28,3,344,43,547,2025-12-17
60,28,5,282,22,910,2024-09-23
61,29,2,184,36,849,2024-07-30
62,30,4,16,27,461,2025-10-10
63,30,5,72,32,398,2025-04-17
64,31,3,48,16,925,2025-03-20
65,31,3,11,27,631,2024-05-14
66,31,5,477,16,936,2026-03-06
67,32,4,130,32,980,2025-08-15
68,33,2,410,26,449,2024-04-10
69,33,1,418,16,253,2025-03-02
70,34,5,60,38,754,2025-02-12
71,34,1,30,46,777,2025-11-09
72,35,2,363,18,963,2024-11-18
73,35,5,90,38,497,2026-03-03
74,36,4,181,14,229,2024-05-21
75,36,3,186,11,933,2024-11-24
76,37,1,377,26,444,2025-07-31
77,37,2,59,39,359,2025-07-21
78,38,3,441,50,612,2025-12-09
79,39,1,129,42,738,2024-07-10
80,40,5,426,41,341,2025-06-26
81,40,4,265,24,385,2025-06-04
82,41,1,143,14,754,2025-05-11
83,42,3,19,48,916,2024-06-14
84,42,1,15,47,620,2024-04-25
85,43,4,450,49,308,2024-11-15
86,43,3,295,12,316,2026-02-07
87,44,4,460,34,388,2025-02-08
88,44,1,393,24,768,2024-11-11
89,45,5,237,44,276,2025-03-14
90,46,3,237,35,610,2024-02-21
91,46,4,324,41,736,2025-12-10
92,47,1,80,43,664,2026-02-09
93,47,2,52,29,933,2024-06-29
94,48,4,187,34,618,2025-02-08
95,49,1,229,31,667,2025-01-02
96,49,2,292,48,203,2025-07-22
97,50,1,371,47,894,2025-03-19
98,50,5,286,17,830,2025-11-28
99,50,2,470,39,299,2024-05-09
100,51,1,227,50,773,2024-08-15
101,51,1,293,24,273,2026-03-02
102,51,1,490,44,731,2025-06-25
103,52,5,286,48,469,2025-02-26
104,52,1,479,48,749,2025-04-09
105,52,3,404,22,641,2025-05-30
106,53,5,398,22,847,2024-08-21
107,54,3,460,40,800,2024-03-08
108,55,3,215,48,675,2024-06-08
109,56,1,458,16,998,2024-06-10
110,56,1,82,35,481,2024-12-17
111,56,5,166,31,333,2024-10-25
112,57,2,220,24,985,2024-08-03
113,57,4,380,17,799,2025-02-26
114,57,3,101,41,273,2024-05-30
115,58,3,130,50,985,2024-05-19
116,58,2,96,22,409,2025-08-29
117,58,3,214,23,855,2024-08-03
118,59,3,84,45,553,2024-07-29
119,59,3,370,24,934,2024-12-19
120,60,4,298,48,742,2025-08-14
121,60,2,470,45,293,2024-04-30
122,60,2,201,34,791,2024-08-09
123,61,4,159,39,657,2025-12-31
124,62,2,55,27,690,2025-03-28
125,62,5,345,36,297,2024-06-25
126,62,1,464,26,956,2024-05-15
127,63,2,324,14,690,2025-02-06
128,63,1,167,17,269,2026-03-16
129,64,4,428,48,996,2025-05-08
130,64,5,268,11,424,2025-04-14
131,65,2,33,41,704,2025-07-08
132,65,1,149,11,722,2025-05-23
133,66,1,164,29,972,2024-06-23
134,66,4,194,49,232,2025-05-31
135,66,1,407,32,637,2026-01-01
136,67,4,62,31,710,2024-05-03
137,67,3,453,26,227,2026-01-08
138,68,3,177,23,211,2024-01-13
139,68,5,9,44,997,2025-05-11
140,69,2,333,39,817,2025-03-19
141,69,5,323,44,967,2026-02-14
142,70,2,389,37,435,2024-06-27
143,70,2,313,39,781,2024-08-25
144,71,4,92,11,791,2024-11-09
145,71,2,299,14,979,2025-08-16
146,72,1,198,25,495,2025-09-09
147,72,1,56,37,205,2025-04-29
148,73,4,141,22,853,2024-09-23
