order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
1,ORD-20230606-00001,150,2023-06-06,pending,2548.46,16,290,535.18,2965.89,paypal,same_day,,
2,ORD-20240815-00002,81,2024-08-15,processing,3443.92,10,110,723.22,3932.75,cash_on_delivery,express,7,Nota del cliente: Dejar en portería
3,ORD-20230928-00003,144,2023-09-28,shipped,938.26,5,120,197.03,1208.38,debit_card,same_day,,
4,ORD-20230824-00004,248,2023-08-24,pending,3774.63,5,60,792.67,4438.57,bank_transfer,pickup,,
5,ORD-20230807-00005,243,2023-08-07,shipped,2088,8,200,438.48,2559.44,debit_card,same_day,10,
6,ORD-20250430-00006,301,2025-04-30,shipped,343.26,19,150,72.08,500.12,credit_card,pickup,,
7,ORD-20250529-00007,25,2025-05-29,cancelled,1424.51,8,420,299.15,2029.7,paypal,express,,
8,ORD-20240423-00008,200,2024-04-23,cancelled,2229.66,18,450,468.23,2746.55,paypal,standard,,
9,ORD-20240530-00009,240,2024-05-30,processing,5771.39,9,430,1211.99,6893.95,cash_on_delivery,standard,,
10,ORD-20231002-00010,201,2023-10-02,processing,3126.35,19,50,656.53,3238.87,paypal,express,1,
11,ORD-20240914-00011,149,2024-09-14,delivered,2341.59,16,400,491.73,2858.67,debit_card,pickup,,
12,ORD-20230603-00012,192,2023-06-03,delivered,3533.33,2,160,742,4364.66,cash_on_delivery,same_day,,
13,ORD-20231212-00013,236,2023-12-12,delivered,1362.22,3,100,286.07,1707.42,credit_card,pickup,,
14,ORD-20240125-00014,139,2024-01-25,cancelled,1487.29,20,320,312.33,1822.16,credit_card,standard,,
15,ORD-20251016-00015,42,2025-10-16,pending,1261.46,5,170,264.91,1633.3,cash_on_delivery,express,,
16,ORD-20250804-00016,5,2025-08-04,shipped,3094.15,20,430,649.77,3555.09,debit_card,standard,,
17,ORD-20250307-00017,63,2025-03-07,pending,3749.26,5,180,787.34,4529.14,credit_card,standard,,
18,ORD-20240306-00018,136,2024-03-06,shipped,2314.83,10,20,486.11,2589.46,bank_transfer,pickup,,Nota del cliente: Dejar en portería
19,ORD-20240507-00019,19,2024-05-07,cancelled,982.92,5,470,206.41,1610.18,bank_transfer,express,1,
20,ORD-20230715-00020,113,2023-07-15,cancelled,2059.25,4,270,432.44,2679.32,credit_card,express,7,
21,ORD-20230919-00021,328,2023-09-19,pending,3163.4,12,30,664.31,3478.1,debit_card,same_day,,
22,ORD-20240511-00022,318,2024-05-11,pending,283.23,20,420,59.48,706.06,paypal,express,,
23,ORD-20230212-00023,187,2023-02-12,shipped,4141.15,16,470,869.64,4818.21,debit_card,same_day,,
24,ORD-20240622-00024,7,2024-06-22,processing,1592.55,6,220,334.44,2051.44,paypal,same_day,,
25,ORD-20251105-00025,313,2025-11-05,shipped,3280.28,12,360,688.86,3935.51,debit_card,same_day,3,
26,ORD-20251024-00026,175,2025-10-24,pending,2112.22,16,160,443.57,2377.83,paypal,express,10,
27,ORD-20230307-00027,259,2023-03-07,cancelled,964.47,1,330,202.54,1487.37,paypal,express,,Nota del cliente: Envolver para regalo
28,ORD-20240427-00028,3,2024-04-27,delivered,577.8,7,330,121.34,988.69,debit_card,standard,,
